id,title,label,filtered_words_str
F004,Secret Cure Confirmed by Sources,FAKE,"purpose,across,one,purpose,together,more.,yeah,piece,happen,idea,break,happy.,expert,hot,old,team.,—,shocking,claims,secret,cure,surface,internet."
F220,Celebrity Scandal Confirmed by Sources,FAKE,"especially,argue,reach,subject,character,with.,trouble,community,speech.,—,shocking,claims,celebrity,scandal,surface,internet."
F121,Hoax Confirmed by Sources,FAKE,"physical,name,follow,majority,nearly,tax,left.,type,lawyer,thus,point,check.,—,shocking,claims,hoax,surface,internet."
F245,Mind Control Confirmed by Sources,FAKE,"inside,start,tough.,—,shocking,claims,mind,control,surface,internet."
R035,New Report on Climate Change,REAL,"trade,tough,compare.,green,court,music,goal.,experts,discuss,ongoing,developments,climate,change."
R024,New Report on Education,REAL,"win,worker,capital.,experts,discuss,ongoing,developments,education."
F079,Miracle Drug Confirmed by Sources,FAKE,"bed,cost,bit,thousand,national.,professor,sometimes,likely,eye.,hospital,class,window,southern,course,fear.,—,shocking,claims,miracle,drug,surface,internet."
R094,New Report on Policy,REAL,"say,commercial,wrong,big.,task,walk,art,admit,score,investment,face.,might,federal,truth,team.,speak,easy,new,spend,language,speak,subject,wife.,experts,discuss,ongoing,developments,policy."
R040,New Report on Policy,REAL,"happen,available,individual,field,pay.,visit,else,later,sign.,experts,discuss,ongoing,developments,policy."
F170,Immortal Jellyfish Confirmed by Sources,FAKE,"argue,pick,east,evidence,point,without.,color,party,event,possible.,father,treatment,hotel,husband.,—,shocking,claims,immortal,jellyfish,surface,internet."
F130,Immortal Jellyfish Confirmed by Sources,FAKE,"prevent,allow,situation,answer,black,heavy,book.,production,word,owner,wind,behavior.,—,shocking,claims,immortal,jellyfish,surface,internet."
R085,New Report on Economic Growth,REAL,"around,fish,recent,six,expect.,experts,discuss,ongoing,developments,economic,growth."
R054,New Report on Budget Report,REAL,"thing,determine,far,politics,food,nearly.,law,east,commercial.,wish,arrive,long,purpose,training,positive,officer,southern.,experts,discuss,ongoing,developments,budget,report."
R047,New Report on Technology Breakthrough,REAL,"hundred,history,away,outside.,record,summer,owner,inside,build,general.,experts,discuss,ongoing,developments,technology,breakthrough."
R199,New Report on Economic Growth,REAL,"first,land,perform,rock,whose,decision,research.,fine,management,add,different,market,election,space.,bad,toward,hit.,experts,discuss,ongoing,developments,economic,growth."
F062,Miracle Drug Confirmed by Sources,FAKE,"knowledge,beautiful,better.,assume,near,at.,—,shocking,claims,miracle,drug,surface,internet."
R244,New Report on Technology Breakthrough,REAL,"participant,peace,lose.,throughout,wait,sister,happy,wall.,experts,discuss,ongoing,developments,technology,breakthrough."
R107,New Report on Election,REAL,"response,success,foreign.,experts,discuss,ongoing,developments,election."
F148,Aliens Confirmed by Sources,FAKE,"actually,act,push.,modern,affect,also,break,the.,—,shocking,claims,aliens,surface,internet."
F023,Mind Control Confirmed by Sources,FAKE,"store,stop,protect,support,forget,involve,write.,music,season.,—,shocking,claims,mind,control,surface,internet."
R075,New Report on Budget Report,REAL,"knowledge,evidence,capital,lawyer.,experts,discuss,ongoing,developments,budget,report."
R220,New Report on Public Health,REAL,"run,walk,shoulder,produce,research,age.,product,building,player,language,thus.,experts,discuss,ongoing,developments,public,health."
R099,New Report on Economic Growth,REAL,"participant,pick,fire,story,practice.,always,study,eight,industry.,matter,group,fund,even.,experts,discuss,ongoing,developments,economic,growth."
F066,Flat Earth Confirmed by Sources,FAKE,"ahead,future,card,measure,response,try.,process,officer,game,go,such.,good,total,section,special,either,him.,dinner,everything,well,writer.,—,shocking,claims,flat,earth,surface,internet."
F060,Flat Earth Confirmed by Sources,FAKE,"suddenly,treatment,career,describe.,information,trip,every.,million,section,listen,pm,southern.,—,shocking,claims,flat,earth,surface,internet."
F022,Government Cover-Up Confirmed by Sources,FAKE,"wife,evidence,natural,time,manager,sing.,alone,rate,difference,lead,spend.,true,enough,tree.,—,shocking,claims,government,cover-up,surface,internet."
F127,Mind Control Confirmed by Sources,FAKE,"none,guess,couple,team.,peace,bar,second,run,discussion,raise,plan.,—,shocking,claims,mind,control,surface,internet."
R212,New Report on Education,REAL,"plant,actually,pass,first,fine,stuff,threat,value.,hand,baby,individual,pm.,experts,discuss,ongoing,developments,education."
F119,Mind Control Confirmed by Sources,FAKE,"class,seem,measure,cover.,idea,bad,behind,cold,great,pull,economic.,hundred,though,action,former.,—,shocking,claims,mind,control,surface,internet."
F103,Hoax Confirmed by Sources,FAKE,"perform,series,also,environmental,clearly.,course,base,ok.,—,shocking,claims,hoax,surface,internet."
F191,Mind Control Confirmed by Sources,FAKE,"exactly,fill,decade,past.,alone,stage,decision,unit,whether,stage,tend.,—,shocking,claims,mind,control,surface,internet."
F002,Mind Control Confirmed by Sources,FAKE,"deal,chair,cup,meeting,remember.,car,claim,relate,suggest,write,easy,base.,—,shocking,claims,mind,control,surface,internet."
R155,New Report on Election,REAL,"head,provide,financial,source,team.,candidate,surface,keep,central,particularly,hair.,experts,discuss,ongoing,developments,election."
R006,New Report on Technology Breakthrough,REAL,"pattern,carry,cause,property.,onto,cover,side,successful,service,girl.,experts,discuss,ongoing,developments,technology,breakthrough."
F086,Government Cover-Up Confirmed by Sources,FAKE,"deal,name,chair,carry,message,yeah.,plant,professor,several,political.,—,shocking,claims,government,cover-up,surface,internet."
R168,New Report on Election,REAL,"air,skin,figure,show.,really,contain,product,child,throughout.,close,ago,general,him.,experts,discuss,ongoing,developments,election."
R077,New Report on Public Health,REAL,"along,nothing,language.,simply,condition,wrong,town,federal.,full,piece,interview,appear,commercial,explain,growth,finally.,experts,discuss,ongoing,developments,public,health."
F209,Hoax Confirmed by Sources,FAKE,"sit,follow,administration,would.,mission,deal,level,wife,summer,billion,vote.,—,shocking,claims,hoax,surface,internet."
R236,New Report on Public Health,REAL,"side,today,president,grow.,cut,body,soon,recently,relationship.,top,face,drive,war,lead,modern,interesting.,growth.,experts,discuss,ongoing,developments,public,health."
F186,Aliens Confirmed by Sources,FAKE,"station,imagine,every,trip,doctor.,—,shocking,claims,aliens,surface,internet."
R243,New Report on Public Health,REAL,"society,road,human,onto.,hard,wife,wide,carry.,appear,account,network.,experts,discuss,ongoing,developments,public,health."
F094,Immortal Jellyfish Confirmed by Sources,FAKE,"possible,marriage,guess.,look,data,participant,author,difference,sell,music,traditional.,—,shocking,claims,immortal,jellyfish,surface,internet."
R032,New Report on Economic Growth,REAL,"throw,feel,leader,south,player.,finally,base,rest,choice,appear,matter,result.,experts,discuss,ongoing,developments,economic,growth."
R033,New Report on Education,REAL,"away,ability,let,night,late.,common,college,baby,somebody,consumer.,experts,discuss,ongoing,developments,education."
R045,New Report on Technology Breakthrough,REAL,"media,step,wind,example,gas,southern,plan,performance.,yeah,way,evidence,along,power.,professional,know,trade,team,seem,take,ten.,medical,pick,tough,run,mean,why.,experts,discuss,ongoing,developments,technology,breakthrough."
R116,New Report on Education,REAL,"take,executive,capital.,cause,large,vote,throughout,authority.,memory,particularly,good,rise,discover,along.,experts,discuss,ongoing,developments,education."
F056,Celebrity Scandal Confirmed by Sources,FAKE,"agency,thought,instead,suffer,bank,rest.,worker,section,teacher,situation,company.,edge,media,end,charge,skin.,similar.,—,shocking,claims,celebrity,scandal,surface,internet."
R043,New Report on Policy,REAL,"weight,yard,evidence,apply,boy,two.,wish,trade,collection,three,much.,consumer,national,might,knowledge,exist,thing,sound.,experts,discuss,ongoing,developments,policy."
R145,New Report on Economic Growth,REAL,"service,without,project,maybe,second,amount,agree.,forward,always,dark,fine,long,place,consumer,business.,interview,feel,air,resource,learn.,sell,big,rock,themselves.,experts,discuss,ongoing,developments,economic,growth."
F200,Secret Cure Confirmed by Sources,FAKE,"admit,still,official,start.,million,industry,top.,—,shocking,claims,secret,cure,surface,internet."
F034,Celebrity Scandal Confirmed by Sources,FAKE,"public,check,natural,result.,know,allow,make,mean.,truth,nearly,sister,let,book,him.,plan,drop,artist.,—,shocking,claims,celebrity,scandal,surface,internet."
F149,Secret Cure Confirmed by Sources,FAKE,"way,individual,form,law,glass,single,wonder,soldier.,card,relate,significant,power,will.,—,shocking,claims,secret,cure,surface,internet."
F051,Secret Cure Confirmed by Sources,FAKE,"military,national,others,small,statement,number,live.,teacher,home,east.,parent,institution,state,parent,rather,particularly.,—,shocking,claims,secret,cure,surface,internet."
F089,Flat Earth Confirmed by Sources,FAKE,"remember,draw,stand,body,economic,source,minute,might.,production,free,nice,drive,total,baby.,sell,tough,together,us,nation,tv,laugh.,offer,meeting,community,since.,—,shocking,claims,flat,earth,surface,internet."
F135,Flat Earth Confirmed by Sources,FAKE,"present,bring,account,behind,painting,help.,amount,word,hundred,law,begin,hot.,—,shocking,claims,flat,earth,surface,internet."
F088,Government Cover-Up Confirmed by Sources,FAKE,"reveal,better,military,early,guess.,—,shocking,claims,government,cover-up,surface,internet."
R010,New Report on Election,REAL,"score,career,career,force,participant,wish.,step,machine,may.,company,hour,long,apply,way,well,option.,experts,discuss,ongoing,developments,election."
R211,New Report on Policy,REAL,"generation,real,stuff.,part,catch,position,spend,blood.,white,business,upon,discussion,professional,behind.,experts,discuss,ongoing,developments,policy."
F204,Miracle Drug Confirmed by Sources,FAKE,"sing,subject,protect,start,doctor,seven.,study,respond,always,growth.,become,manager,professor.,radio,involve,trip,machine,fast.,—,shocking,claims,miracle,drug,surface,internet."
F168,Miracle Drug Confirmed by Sources,FAKE,"hit,reach,toward,seven,parent,fill,be.,particular,level,teach,property,foreign,send,into.,value,year,morning,answer.,—,shocking,claims,miracle,drug,surface,internet."
R011,New Report on Public Health,REAL,"change,glass,coach,reach,pick.,age,family,issue,form,parent,case.,population,yeah,like,pattern,think,institution.,experts,discuss,ongoing,developments,public,health."
R232,New Report on Climate Change,REAL,"stock,machine,middle.,five,charge,despite,two,produce,name.,experts,discuss,ongoing,developments,climate,change."
R042,New Report on Public Health,REAL,"stay,surface,note,probably,ground,blood,suggest.,organization,practice,position,property,operation,as.,audience,staff,magazine.,experts,discuss,ongoing,developments,public,health."
F182,Hoax Confirmed by Sources,FAKE,"black,reduce,group,million,accept,economic,your.,—,shocking,claims,hoax,surface,internet."
F036,Miracle Drug Confirmed by Sources,FAKE,"western,get,raise,war,fish.,direction,buy,sort,prove.,—,shocking,claims,miracle,drug,surface,internet."
F068,Secret Cure Confirmed by Sources,FAKE,"usually,close,national,none.,lose,realize,play,small.,position,yeah,specific,trade,consumer,person,clearly,face.,—,shocking,claims,secret,cure,surface,internet."
R015,New Report on Election,REAL,"increase,general,seat,over.,series,black,response,personal,owner,evidence,station.,night,produce,subject,race.,experts,discuss,ongoing,developments,election."
R147,New Report on Climate Change,REAL,"consider.,population,service,magazine,brother.,ready,item,way,act,day.,experts,discuss,ongoing,developments,climate,change."
F198,Government Cover-Up Confirmed by Sources,FAKE,"minute,argue,us,voice,couple,couple,understand.,modern,section,behavior,full,memory,difference,practice.,—,shocking,claims,government,cover-up,surface,internet."
R081,New Report on Climate Change,REAL,"usually,relate,season,become,position.,play,record,point,plant,vote,speech,unit.,stage,newspaper,room,must,beautiful.,experts,discuss,ongoing,developments,climate,change."
F050,Aliens Confirmed by Sources,FAKE,"manager,finally,fine,affect,fish.,possible,one,truth,amount,institution,staff.,trouble,audience,join,book,stuff.,—,shocking,claims,aliens,surface,internet."
F162,Celebrity Scandal Confirmed by Sources,FAKE,"create,turn,often,station,case,air.,join,report,prepare,begin,scientist.,toward,girl,glass,ten,matter,personal.,—,shocking,claims,celebrity,scandal,surface,internet."
R028,New Report on Technology Breakthrough,REAL,"result,green,area,decade,turn,his.,experts,discuss,ongoing,developments,technology,breakthrough."
R195,New Report on Budget Report,REAL,"pm,money,relate,seek,nearly.,history,financial,always,space.,experts,discuss,ongoing,developments,budget,report."
F116,Aliens Confirmed by Sources,FAKE,"nothing,inside,purpose,discussion,national,something,world.,adult,answer,low,process,young,crime,small.,—,shocking,claims,aliens,surface,internet."
R018,New Report on Research,REAL,"foreign,center,throw,also,heavy.,total,debate,land,easy,wide,trouble,point,agreement.,affect,training,activity,last.,experts,discuss,ongoing,developments,research."
F073,Immortal Jellyfish Confirmed by Sources,FAKE,"amount,southern,trouble,exactly,air.,thought,design,need,player,loss,several,middle.,—,shocking,claims,immortal,jellyfish,surface,internet."
F059,Miracle Drug Confirmed by Sources,FAKE,"service,really,financial,care.,perhaps,party,recently,career,type,nearly,ground,letter.,watch,record,one,behavior,you.,—,shocking,claims,miracle,drug,surface,internet."
R078,New Report on Budget Report,REAL,"stop,claim,great,budget,sometimes,forward,politics.,poor,foreign,care,government,senior,none,five.,experts,discuss,ongoing,developments,budget,report."
F216,Secret Cure Confirmed by Sources,FAKE,"organization,fact,might,nor.,create,baby,paper,wide.,—,shocking,claims,secret,cure,surface,internet."
F206,Celebrity Scandal Confirmed by Sources,FAKE,"table,imagine,save,hold,hot,morning.,choice,box,society.,—,shocking,claims,celebrity,scandal,surface,internet."
R036,New Report on Research,REAL,"picture,relate,agree,choice,explain,social,soldier,really.,authority,method,everyone,nice.,experts,discuss,ongoing,developments,research."
F104,Aliens Confirmed by Sources,FAKE,"create,break,mrs,future,treat.,able,seat,tree.,—,shocking,claims,aliens,surface,internet."
F000,Hoax Confirmed by Sources,FAKE,"ready,keep,source,others,morning,play,mr.,exactly,huge,step,indeed,store,open,learn,professional.,million,second,along,born,later,major,husband.,—,shocking,claims,hoax,surface,internet."
R136,New Report on Education,REAL,"mr,lose,one,wrong,national,check.,lose,quite,chair,child,difference,carry.,collection,decide,end,detail,smile.,experts,discuss,ongoing,developments,education."
F019,Immortal Jellyfish Confirmed by Sources,FAKE,"experience,piece,successful,responsibility,against.,strong,owner.,—,shocking,claims,immortal,jellyfish,surface,internet."
R012,New Report on Technology Breakthrough,REAL,"develop,spring,care,interest,occur,series.,home,meeting,oil,instead,war,exist,control.,experts,discuss,ongoing,developments,technology,breakthrough."
R052,New Report on Education,REAL,"wall,mention,read,option.,experts,discuss,ongoing,developments,education."
R123,New Report on Climate Change,REAL,"still,door,congress,box.,catch,size,serious.,experts,discuss,ongoing,developments,climate,change."
F040,Government Cover-Up Confirmed by Sources,FAKE,"city,list,cost,push,marriage,arrive,mission,west.,support,service,strong.,—,shocking,claims,government,cover-up,surface,internet."
R160,New Report on Climate Change,REAL,"memory,window,pick,raise,view,south.,experts,discuss,ongoing,developments,climate,change."
F067,Immortal Jellyfish Confirmed by Sources,FAKE,"determine,follow,note,development.,late,contain,rich,southern,once.,whole,officer,specific,coach,part,require.,—,shocking,claims,immortal,jellyfish,surface,internet."
R069,New Report on Research,REAL,"expect,pressure,wish,type,box.,present,total,child,need.,attention,usually,consumer,cup,collection,along,after.,board,special,so.,experts,discuss,ongoing,developments,research."
F160,Mind Control Confirmed by Sources,FAKE,"magazine,build,together,catch,bad,reduce.,evidence,sign,whose,feel,spend,true.,high,hope,care,last,this.,—,shocking,claims,mind,control,surface,internet."
F053,Hoax Confirmed by Sources,FAKE,"heart,protect,nature,former,particularly,involve,family.,several,film,truth,light,gas,watch.,bag,amount,husband,mission,example,suddenly.,activity,environment,she.,—,shocking,claims,hoax,surface,internet."
R074,New Report on Education,REAL,"director,late,walk,continue,attention.,tax,use,clear,stand,detail,player,reflect.,book,lead.,middle,everyone,week,issue,girl,soon,talk.,experts,discuss,ongoing,developments,education."
R007,New Report on Election,REAL,"government,season,nothing.,plant,near,their.,experts,discuss,ongoing,developments,election."
R119,New Report on Climate Change,REAL,"door,car,offer.,like,paper,lead,operation,decision.,experts,discuss,ongoing,developments,climate,change."
R087,New Report on Budget Report,REAL,"kind,author,dream,benefit,size,argue,thousand.,politics,letter,war,industry,politics,line.,experts,discuss,ongoing,developments,budget,report."
F145,Miracle Drug Confirmed by Sources,FAKE,"expert,yard,challenge,represent,especially,official,perhaps.,build,finally,several,great,talk,population.,every,according,some.,—,shocking,claims,miracle,drug,surface,internet."
R065,New Report on Budget Report,REAL,"event,mrs,tv,past.,church,experience,skill,interest,form.,save,join,young,ten,specific,whatever.,experts,discuss,ongoing,developments,budget,report."
R208,New Report on Budget Report,REAL,"tv,along,create,use,pick,break,prepare,pattern.,current,listen,kid,several.,experts,discuss,ongoing,developments,budget,report."
R048,New Report on Budget Report,REAL,"foot,short,wonder,run,institution,notice,over.,also,concern,couple,drug,reason,month,possible.,maybe,within,western,offer,modern,key.,experts,discuss,ongoing,developments,budget,report."
F076,Aliens Confirmed by Sources,FAKE,"fill,thus,example,factor,hit,window,north.,week,voice,bed.,—,shocking,claims,aliens,surface,internet."
R019,New Report on Policy,REAL,"bank,federal,meeting,begin,loss,discussion.,sing,real,interesting,today,loss,ok.,safe,focus,story,pretty,law.,high,accept,build,focus.,experts,discuss,ongoing,developments,policy."
F115,Immortal Jellyfish Confirmed by Sources,FAKE,"professional,organization,involve,themselves.,film,finish,close,national.,official,common,end.,—,shocking,claims,immortal,jellyfish,surface,internet."
